No,Tanggal,Harga,Tertinggi,Terendah,Penutupan,Volume,Nilai,Frekuensi
893,9-Apr-20,0,3.18,3.03,3.12,122.622.400,383.096.905.000,13.277
894,8-Apr-20,0,3.22,3.05,3.11,124.553.900,386.493.087.000,13.945
895,7-Apr-20,0,3.5,3.2,3.22,166.425.600,541.408.524.000,21.927
896,6-Apr-20,0,3.33,3.18,3.33,115.495.000,375.771.254.000,13.026
897,3-Apr-20,0,3.22,3.12,3.2,83.469.200,265.840.347.000,10.027
898,2-Apr-20,0,3.13,3.02,3.13,92.893.600,286.311.122.000,11.299
899,1-Apr-20,0,3.2,3.04,3.1,104.550.600,325.321.545.000,14.242
900,31-Mar-20,0,3.3,3.12,3.16,151.302.900,481.196.639.000,17.767
901,30-Mar-20,0,3.18,2.88,3.14,134.474.300,406.052.065.000,15.155
902,27-Mar-20,0,3.27,3.05,3.09,200.952.500,634.751.935.000,29.762
903,26-Mar-20,0,3.08,2.55,2.98,267.369.500,783.838.411.000,30.723
904,24-Mar-20,0,2.88,2.57,2.62,243.778.900,653.498.837.000,24.608
905,23-Mar-20,0,2.88,2.68,2.68,86.157.200,232.080.875.000,10.897
906,20-Mar-20,0,2.99,2.45,2.88,267.694.700,743.535.183.000,31.363
907,19-Mar-20,0,2.81,2.62,2.62,138.987.300,364.346.543.000,9.511
908,18-Mar-20,0,3.08,2.74,2.81,150.147.300,426.190.238.000,21.287
909,17-Mar-20,0,3.16,2.94,2.94,150.122.700,444.036.698.000,18.429
910,16-Mar-20,0,3.3,3.16,3.16,115.972.300,367.218.154.000,13.158
911,13-Mar-20,0,3.49,3.08,3.39,172.248.400,560.378.086.000,19.779
912,12-Mar-20,3.3,3.44,3.27,3.31,84.363.800,282.550.230.000,10.221
913,11-Mar-20,3.47,3.48,3.37,3.4,115.486.900,394.732.675.000,12.994
914,10-Mar-20,3.48,3.62,3.48,3.49,119.718.000,422.626.463.000,13.468
915,9-Mar-20,3.56,3.62,3.5,3.5,109.347.300,386.589.290.000,10.871
916,6-Mar-20,3.73,3.79,3.71,3.75,86.476.000,324.010.764.000,9.261
917,5-Mar-20,3.82,3.88,3.76,3.83,101.235.000,386.160.386.000,14.56
918,4-Mar-20,3.64,3.84,3.63,3.83,136.081.000,514.953.872.000,11.01
919,3-Mar-20,3.51,3.66,3.47,3.62,114.698.200,412.371.424.000,12.358
920,2-Mar-20,3.47,3.55,3.44,3.44,96.802.900,337.937.106.000,11.632
921,28-Feb-20,3.39,3.49,3.34,3.49,151.751.800,518.883.478.000,13.216
922,27-Feb-20,3.51,3.55,3.42,3.47,88.389.400,308.519.175.000,11.609
923,26-Feb-20,3.53,3.55,3.45,3.51,133.449.900,468.448.781.000,14.189
924,25-Feb-20,3.6,3.67,3.59,3.59,73.990.700,267.426.283.000,10.44
925,24-Feb-20,3.67,3.72,3.63,3.64,72.610.600,265.950.298.000,7.272
926,21-Feb-20,3.65,3.71,3.64,3.69,86.862.600,319.797.741.000,8.579
927,20-Feb-20,3.62,3.65,3.6,3.63,53.035.400,192.168.148.000,7.361
928,19-Feb-20,3.62,3.64,3.59,3.62,63.717.800,230.182.401.000,7.668
929,18-Feb-20,3.59,3.66,3.59,3.62,94.382.900,342.836.965.000,7.134
930,17-Feb-20,3.63,3.66,3.59,3.61,94.887.800,343.535.874.000,8.612
931,14-Feb-20,3.68,3.73,3.64,3.64,108.793.300,398.715.398.000,10.974
932,13-Feb-20,3.82,3.83,3.71,3.73,66.699.800,250.132.113.000,7.08
933,12-Feb-20,3.8,3.85,3.78,3.82,73.840.300,282.263.730.000,4.973
934,11-Feb-20,3.81,3.83,3.78,3.79,50.248.200,191.372.182.000,5.437
935,10-Feb-20,3.8,3.85,3.78,3.81,86.588.500,330.656.646.000,8.291
936,7-Feb-20,3.78,3.82,3.76,3.79,53.578.900,203.296.314.000,4.868
937,6-Feb-20,3.8,3.8,3.75,3.76,56.261.500,211.946.119.000,6.567
938,5-Feb-20,3.76,3.78,3.72,3.77,68.150.800,255.439.762.000,8.782
939,4-Feb-20,3.81,3.81,3.73,3.76,77.259.600,290.449.588.000,8.707
940,3-Feb-20,3.8,3.82,3.73,3.74,68.360.600,257.796.992.000,11.53
941,31-Jan-20,3.89,3.89,3.78,3.8,120.447.900,459.460.972.000,9.675
942,30-Jan-20,3.91,3.91,3.85,3.86,60.391.600,233.945.204.000,5.412
943,29-Jan-20,3.84,3.9,3.84,3.9,51.929.800,201.664.037.000,6.364
944,28-Jan-20,3.81,3.84,3.8,3.83,56.210.000,214.550.576.000,7.885
945,27-Jan-20,3.92,3.92,3.83,3.84,33.081.800,127.742.341.000,5.501
